ISIN,Name,Sector,Asset Class,Weight,Country,Currency
,PROSPERITY BANCSHARES INC,Financials,Equity,0.0006,United States,USD
,ESSENT GROUP LTD,Financials,Equity,0.0006,United States,USD
,PIPER SANDLER COMPANIES,Financials,Equity,0.0006,United States,USD
,AAON INC,Industrials,Equity,0.0006,United States,USD
,WHITE MOUNTAINS INSURANCE GROUP LT,Financials,Equity,0.0006,United States,USD
,SITEONE LANDSCAPE SUPPLY INC,Industrials,Equity,0.0006,United States,USD
,SOUTH BOW CORP,Energy,Equity,0.0006,Canada,CAD
,FOOD & LIFE COMPANIES LTD,Consumer Discretionary,Equity,0.0006,Japan,JPY
,STARWOOD PROPERTY TRUST REIT INC,Financials,Equity,0.0006,United States,USD
,TERAWULF INC,Information Technology,Equity,0.0006,United States,USD
,JYSKE BANK,Financials,Equity,0.0006,Denmark,DKK
,BRINKER INTERNATIONAL INC,Consumer Discretionary,Equity,0.0006,United States,USD
,VALLEY NATIONAL,Financials,Equity,0.0006,United States,USD
,QUBE HOLDINGS LTD,Industrials,Equity,0.0006,Australia,AUD
,TECHNOLOGY ONE LTD,Information Technology,Equity,0.0006,Australia,AUD
,SWISSQUOTE GROUP HOLDING SA,Financials,Equity,0.0006,Switzerland,CHF
,PROCORE TECHNOLOGIES INC,Information Technology,Equity,0.0006,United States,USD
,CLAL INSURANCE ENTERPRISES LTD,Financials,Equity,0.0006,Israel,ILS
,EVERUS CONSTRUCTION GROUP INC,Industrials,Equity,0.0006,United States,USD
,JANUS HENDERSON GROUP PLC,Financials,Equity,0.0006,United States,USD
,TXNM ENERGY INC,Utilities,Equity,0.0006,United States,USD
,NGK CORP,Industrials,Equity,0.0006,Japan,JPY
,TPG INC CLASS A,Financials,Equity,0.0006,United States,USD
,OPC ENERGY LTD,Utilities,Equity,0.0006,Israel,ILS
,LIBERTY BROADBAND CORP SERIES C,Communication Services,Equity,0.0006,United States,USD
